name,Tipo2,NewCol,TypeCustom,Attack100,AttackCustom,GetDate,GetDate_Format,StringToDate,StringToTimestamp
Clefairy,"",1,Only Type 1,160.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Clefable,"",1,Only Type 1,195.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Cleffa,"",1,Only Type 1,145.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Togepi,"",1,Only Type 1,140.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Togetic,flying,1,Both Types,180.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Snubbull,"",1,Only Type 1,140.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Granbull,"",1,Only Type 1,160.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Togekiss,flying,1,Both Types,220.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Flabébé,"",1,Only Type 1,161.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Floette,"",1,Only Type 1,225.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Florges,"",1,Only Type 1,212.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Spritzee,"",1,Only Type 1,163.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Aromatisse,"",1,Only Type 1,199.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Swirlix,"",1,Only Type 1,159.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Slurpuff,"",1,Only Type 1,185.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Sylveon,"",1,Only Type 1,210.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Xerneas,"",1,Only Type 1,231.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Comfey,"",1,Only Type 1,182.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
