name,Tipo2,NewCol,TypeCustom,Attack100,AttackCustom,GetDate,GetDate_Format,StringToDate,StringToTimestamp
Squirtle,"",1,Only Type 1,150.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Wartortle,"",1,Only Type 1,165.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Blastoise,"",1,Only Type 1,235.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Psyduck,"",1,Only Type 1,165.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Golduck,"",1,Only Type 1,195.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Poliwag,"",1,Only Type 1,140.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Poliwhirl,"",1,Only Type 1,150.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Poliwrath,fighting,1,Both Types,170.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Tentacool,poison,1,Both Types,150.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Tentacruel,poison,1,Both Types,180.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Slowpoke,psychic,1,Both Types,140.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Slowbro,psychic,1,Both Types,230.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Seel,"",1,Only Type 1,145.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Dewgong,ice,1,Both Types,170.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Shellder,"",1,Only Type 1,145.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Cloyster,ice,1,Both Types,185.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Krabby,"",1,Only Type 1,125.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Kingler,"",1,Only Type 1,150.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Horsea,"",1,Only Type 1,170.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Seadra,"",1,Only Type 1,195.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Goldeen,"",1,Only Type 1,135.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Seaking,"",1,Only Type 1,165.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Staryu,"",1,Only Type 1,170.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Starmie,psychic,1,Both Types,200.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Magikarp,"",1,Only Type 1,115.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Gyarados,flying,1,Both Types,170.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Lapras,ice,1,Both Types,185.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Vaporeon,"",1,Only Type 1,210.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Totodile,"",1,Only Type 1,144.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Croconaw,"",1,Only Type 1,159.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Feraligatr,"",1,Only Type 1,179.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Chinchou,electric,1,Both Types,156.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Lanturn,electric,1,Both Types,176.0,HEAVY,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Marill,fairy,1,Both Types,120.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
Azumarill,fairy,1,Both Types,160.0,LIGHT,2022-04-11,11/04/22,2022-01-01,2022-01-01T06:10:00.000-06:00
